o_lat,o_lon,d_lat,d_lon,dest_name,cat,distance_m,duration_s,static_duration_s,status_code,condition,duration_min,static_duration_min,origin_name
19.287,-99.655,19.2930081,-99.6938843,Escuela Maternal Y Kinder Instituto Universitario Hubble,school,5241,945.0,945.0,0,ROUTE_EXISTS,15.75,15.75,O1_Conjunto
19.287,-99.655,19.2930373,-99.6929613,Instituto Hubble,school,5093,984.0,984.0,0,ROUTE_EXISTS,16.4,16.4,O1_Conjunto
19.287,-99.655,19.3134063,-99.6298707,Centro De Atencion Múltiple Número 20,school,6867,1006.0,1006.0,0,ROUTE_EXISTS,16.766666666666666,16.766666666666666,O1_Conjunto
19.287,-99.655,19.2787157,-99.6183996,Escuela Para Adultos Gabriela Mistral,school,5234,708.0,708.0,0,ROUTE_EXISTS,11.8,11.8,O1_Conjunto
19.287,-99.655,19.260385,-99.6272504,Openbook Educacion Avanzada A Libro Abierto,school,4972,1003.0,1003.0,0,ROUTE_EXISTS,16.716666666666665,16.716666666666665,O1_Conjunto
19.287,-99.655,19.3220023,-99.6457466,Instituto Jose Pages Llergo Preparatoria Y Secundaria Abierta,school,6385,910.0,910.0,0,ROUTE_EXISTS,15.166666666666666,15.166666666666666,O1_Conjunto
19.287,-99.655,19.3186008,-99.6335122,Cobaem Plantel 06 Toluca Norte Turno Matutino,school,6495,1006.0,1006.0,0,ROUTE_EXISTS,16.766666666666666,16.766666666666666,O1_Conjunto
19.287,-99.655,19.3122723,-99.6260516,Escuela Secundaria Oficial 323 Jose Vasconcelos,school,6571,1013.0,1013.0,0,ROUTE_EXISTS,16.883333333333333,16.883333333333333,O1_Conjunto
19.287,-99.655,19.2689239,-99.6916505,Escuela Para Adultos Lic Benito Juárez 15eba2412j,school,7141,1083.0,1083.0,0,ROUTE_EXISTS,18.05,18.05,O1_Conjunto
19.287,-99.655,19.2825684,-99.6186952,Telebachillerato,school,5072,689.0,689.0,0,ROUTE_EXISTS,11.483333333333333,11.483333333333333,O1_Conjunto
19.287,-99.655,19.257589,-99.6674937,Centro Escolar Manuel Bernal,school,5019,916.0,916.0,0,ROUTE_EXISTS,15.266666666666667,15.266666666666667,O1_Conjunto
19.287,-99.655,19.2496522,-99.6336739,Centro Para La Atencion De Jovenes Y Adultos Heriberto Enriquez,school,5387,1061.0,1061.0,0,ROUTE_EXISTS,17.683333333333334,17.683333333333334,O1_Conjunto
19.287,-99.655,19.2537993,-99.6503198,school (OSM),school,4727,1005.0,1005.0,0,ROUTE_EXISTS,16.75,16.75,O1_Conjunto
19.287,-99.655,19.2966384,-99.6932711,Centro Holistico Shiva & Shakti,school,5697,1032.0,1032.0,0,ROUTE_EXISTS,17.2,17.2,O1_Conjunto
19.287,-99.655,19.2556074,-99.6347456,Escuela Secundaria Técnica 140 Lázaro Cárdenas Del Río,school,5132,1032.0,1032.0,0,ROUTE_EXISTS,17.2,17.2,O1_Conjunto
19.287,-99.655,19.2621275,-99.6812591,Escuela Primaria Olga Soto De Chuayffet,school,7281,1141.0,1141.0,0,ROUTE_EXISTS,19.016666666666666,19.016666666666666,O1_Conjunto
19.287,-99.655,19.3194547,-99.6393955,Escuela Primaria República Mexicana,school,6458,945.0,945.0,0,ROUTE_EXISTS,15.75,15.75,O1_Conjunto
