origin_index,origin_name,o_lat,o_lon,dest_name,d_lat,d_lon,cat,cat_key,cat_val,km_straight
0,O1_Conjunto,19.287,-99.655,Berlitz Escuela de Idiomas,19.2798185,-99.6622808,school,amenity,school,1.1052728642626493
0,O1_Conjunto,19.287,-99.655,Centro De Formacion Virtud Marcial Y Deporte Tae Kwondo,19.2881239,-99.6444644,school,amenity,school,1.1127915687381043
0,O1_Conjunto,19.287,-99.655,Preparatoria Estado De México,19.2837423,-99.6652637,school,amenity,school,1.1365036405823012
0,O1_Conjunto,19.287,-99.655,Escuela Española de Dibujo y Pintura clasica,19.2890786,-99.6657248,school,amenity,school,1.149090683266311
0,O1_Conjunto,19.287,-99.655,Escuela Primaria Isidro Fabela Turno Matutino,19.2768001,-99.6531241,school,amenity,school,1.1511400164049808
0,O1_Conjunto,19.287,-99.655,Yoga Natural,19.2851481,-99.6658081,school,amenity,school,1.1529011593333909
0,O1_Conjunto,19.287,-99.655,Escuela De Manejo Aprende,19.2938753,-99.6632409,school,amenity,school,1.15434320418306
0,O1_Conjunto,19.287,-99.655,Escuela Primaria Isidro Fabela Turno Vespertino,19.2767141,-99.6530095,school,amenity,school,1.1626640306523703
0,O1_Conjunto,19.287,-99.655,Escuela De Manejo Valdéz Ponce,19.2796633,-99.6629133,school,amenity,school,1.164196631152097
0,O1_Conjunto,19.287,-99.655,Edu-Vita After School,19.2910336,-99.6446207,school,amenity,school,1.1780591760648016
0,O1_Conjunto,19.287,-99.655,Preparatoria Itaht,19.2882208,-99.6438088,school,amenity,school,1.1823774925502133
